"devicename","driverversion"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 IOxAPIC Configuration Registers - 2036","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 RAS Configuration Registers - 2035","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Intel VT - D - 2034","10.1.2.86"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"QLogic Fibre Channel Adapter","9.2.6.22"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"QLogic Fibre Channel Adapter","9.2.6.22"
"PCI Express Root Port","10.0.14393.594"
"HPE Ethernet 10Gb 2-port 560SFP+ Adapter","4.1.77.0"
"HPE Ethernet 10Gb 2-port 560SFP+ Adapter","4.1.77.0"
"PCI Express Root Port","10.0.14393.594"
"PCI Express Root Complex","10.0.14393.594"
"Advanced programmable interrupt controller","10.0.14393.2155"
"Intel(R) C620 series chipset PMC - A1A1","10.1.2.86"
"ACPI Wake Alarm","10.0.14393.0"
"Kommunikationsanschluss","10.0.14393.0"
"Kommunikationsanschluss","10.0.14393.0"
"Microsoft Generic IPMI Compliant Device","10.0.14393.953"
"Motherboard resources","10.0.14393.2155"
"High precision event timer","10.0.14393.2155"
