"devicename","driverversion"
"HPE Ethernet 1Gb 4-port 331i Adapter","212.0.0.0"
"PCI Express Root Port","10.0.14393.594"
"Intel(R) C620 series chipset CSME: Management Engine Interface #3 - A1BE","10.1.2.86"
"Intel(R) C620 series chipset CSME: Management Engine Interface #1 - A1BA","10.1.2.86"
"Intel(R) C620 series chipset Thermal Subsystem - A1B1","10.1.2.86"
"Generic USB Hub","10.0.14393.0"
"Disk drive","10.0.14393.1613"
"USB Mass Storage Device","10.0.14393.1378"
"USB Root Hub (xHCI)","10.0.14393.0"
"USB xHCI Compliant Host Controller","10.0.14393.1794"
"CD-ROM Drive","10.0.14393.2395"
"Standard SATA AHCI Controller","10.0.14393.2273"
"Intel(R) C620 series chipset MROM 1 - A1ED","10.1.2.86"
"Intel(R) C620 series chipset MROM 0 - A1EC","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Ubox Registers - 2016","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Ubox Registers - 2015","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Ubox Registers - 2014","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 IOAPIC - 2026","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 RAS - 2025","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 MM/Vt - d Configuration Registers - 2024","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CBDMA Registers - 2021","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CBDMA Registers - 2021","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CBDMA Registers - 2021","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CBDMA Registers - 2021","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CBDMA Registers - 2021","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CBDMA Registers - 2021","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CBDMA Registers - 2021","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CBDMA Registers - 2021","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 DMI3 Port - 2020","10.1.2.86"
"PCI Express Root Complex","10.0.14393.594"
"Trusted Platform Module 2.0","10.0.14393.2097"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"ACPI Module Device","10.0.14393.2155"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"Intel Processor","10.0.14393.2273"
"ACPI Module Device","10.0.14393.2155"
"Microsoft Windows Management Interface for ACPI","10.0.14393.0"
"Microsoft Hardware Error Device","10.0.14393.0"
"Microsoft ACPI-Compliant System","10.0.14393.2339"
"ACPI x64-based PC","10.0.14393.0"
"Microsoft ClusPort HBA","10.0.14393.2273"
"Remote Desktop Mouse Device","10.0.14393.0"
"Remote Desktop Keyboard Device","10.0.14393.0"
"UMBus Enumerator","10.0.14393.0"
"UMBus Root Bus Enumerator","10.0.14393.0"
"Microsoft Kernel Debug Network Adapter","10.0.14393.0"
"Microsoft Storage Spaces Controller","10.0.14393.2395"
"Microsoft VHD Loopback Controller","10.0.14393.2395"
"Microsoft Virtual Drive Enumerator","10.0.14393.2007"
"Composite Bus Enumerator","10.0.14393.0"
"Microsoft Hyper-V Virtualization Infrastructure Driver","10.0.14393.2430"
"Hyper-V Virtual Switch Extension Adapter","10.0.14393.0"
"Cluster BFlt Driver","10.0.14393.2273"
"Microsoft Basic Display Driver","10.0.14393.1066"
"Microsoft Hyper-V Virtual Machine Bus Provider","10.0.14393.2007"
"Volume","10.0.14393.0"
"Volume","10.0.14393.0"
"SD/MMC CRW      ","10.0.14393.0"
"Volume","10.0.14393.0"
"Volume","10.0.14393.0"
"Volume","10.0.14393.0"
"Volume","10.0.14393.0"
"Volume","10.0.14393.0"
"Volume Manager","10.0.14393.2273"
,
,"2:5.1,2:5.2,2:6.0,2:6.1,2:6.2,2:6.3,2:10.0"
,"2:5.1,2:5.2,2:6.0,2:6.1,2:6.2,2:6.3,2:10.0"
